"Country", "DEATHS/1M", "TOP_DEATH", "TESTS/1M", "TOP_TEST" 
"Andorra","686","4","1,778,642.00","1"
"Iceland","29","98","561,236.00","10"
"Uzbekistan","8","140","41,089.00","100"
"Kyrgyzstan","229","28","40,944.00","101"
"Hungary","63","69","40,394.00","102"
"Botswana","1","176","39,620.00","103"
"Réunion","6","147","39,521.00","104"
"Malaysia","4","161","35,535.00","105"
"French Polynesia","0","190","35,257.00","106"
"Croatia","41","85","35,235.00","107"
"Iran","241","25","34,940.00","108"
"Equatorial Guinea","59","73","34,935.00","109"
"Cayman Islands","15","124","516,171.00","11"
"Iraq","154","38","33,929.00","110"
"S. Korea","6","147","33,819.00","111"
"Martinique","43","84","32,586.00","112"
"Ukraine","50","79","31,049.00","113"
"Dominican Republic","139","43","30,883.00","114"
"Cuba","8","140","30,589.00","115"
"Nepal","4","161","30,083.00","116"
"St. Vincent Grenadines","0","190","27,327.00","117"
"Rwanda","0.8","179","27,042.00","118"
"Saint Lucia","0","190","26,918.00","119"
"Channel Islands","276","23","396,276.00","12"
"Saint Kitts and Nevis","0","190","26,009.00","120"
"Costa Rica","65","68","24,769.00","121"
"Eswatini","70","63","24,427.00","122"
"India","40","86","23,636.00","123"
"Liechtenstein","26","100","23,595.00","124"
"Paraguay","24","103","23,250.00","125"
"Dominica","0","190","22,858.00","126"
"Argentina","144","40","22,783.00","127"
"Bahamas","58","74","21,457.00","128"
"Philippines","26","100","19,981.00","129"
"Malta","20","111","376,602.00","13"
"Bolivia","362","16","19,005.00","130"
"Namibia","16","121","17,960.00","131"
"Antigua and Barbuda","31","96","17,727.00","132"
"Albania","83","57","17,089.00","133"
"Ecuador","351","19","16,821.00","134"
"Jamaica","5","154","16,610.00","135"
"Caribbean Netherlands","0","190","16,149.00","136"
"Sao Tome and Principe","68","65","15,621.00","137"
"Mauritania","34","92","14,762.00","138"
"Mongolia","0","190","14,103.00","139"
"Denmark","107","50","358,091.00","14"
"Belize","13","129","14,030.00","140"
"Ghana","8","140","13,841.00","141"
"Honduras","162","36","12,890.00","142"
"Trinidad and Tobago","9","136","12,882.00","143"
"Libya","25","102","12,855.00","144"
"Montserrat","200","31","12,220.00","145"
"Guatemala","140","42","11,871.00","146"
"Thailand","0.8","179","10,730.00","147"
"Pakistan","28","99","10,673.00","148"
"Tunisia","5","154","10,071.00","149"
"Singapore","5","154","298,108.00","15"
"Zimbabwe","10","133","10,056.00","150"
"Suriname","94","55","10,026.00","151"
"Japan","9","136","9,962.00","152"
"Mexico","453","13","9,383.00","153"
"Sri Lanka","0.5","182","9,102.00","154"
"Benin","3","168","8,801.00","155"
"Bangladesh","23","106","8,535.00","156"
"Vietnam","0.3","186","8,385.00","157"
"Guyana","37","88","8,261.00","158"
"Senegal","16","121","7,997.00","159"
"Israel","86","56","237,029.00","16"
"Fiji","1","176","7,459.00","160"
"Kenya","10","133","7,391.00","161"
"Uganda","0.4","183","7,332.00","162"
"Indonesia","23","106","7,192.00","163"
"Togo","3","168","6,713.00","164"
"Curaçao","6","147","6,578.00","165"
"CAR","13","129","6,357.00","166"
"Macao","0","190","6,258.00","167"
"Ethiopia","5","154","6,018.00","168"
"Lesotho","14","127","5,611.00","169"
"Russia","110","49","229,541.00","17"
"Cameroon","15","124","5,595.00","170"
"Zambia","15","124","5,584.00","171"
"Cambodia","0","190","4,993.00","172"
"Laos","0","190","4,860.00","173"
"Gambia","33","93","4,445.00","174"
"Ivory Coast","4","161","4,426.00","175"
"Taiwan","0.3","186","3,592.00","176"
"Timor-Leste","0","190","3,206.00","177"
"Mozambique","0.6","181","2,623.00","178"
"Myanmar","0.1","188","2,590.00","179"
"UK","609","6","223,407.00","18"
"Afghanistan","35","91","2,565.00","180"
"Malawi","9","136","2,137.00","181"
"Angola","3","168","1,962.00","182"
"Madagascar","6","147","1,942.00","183"
"Haiti","17","117","1,874.00","184"
"Nigeria","5","154","1,705.00","185"
"Burundi","0.08","189","1,675.00","186"
"Mali","6","147","1,610.00","187"
"Papua New Guinea","0.4","183","1,610.00","187"
"Egypt","51","77","1,316.00","189"
"USA","536","10","222,984.00","19"
"Guinea","4","161","1,288.00","190"
"South Sudan","4","161","1,074.00","191"
"Guinea-Bissau","17","117","760","192"
"Niger","3","168","372","193"
"Sudan","18","113","9","194"
"Yemen","18","113","4","195"
"Chad","5","154","0","196"
"Syria","5","154","0","196"
"Burkina Faso","3","168","0","196"
"DRC","3","168","0","196"
"Somalia","6","147","0","196"
"Tajikistan","7","145","0","196"
"Western Sahara","2","175","0","196"
"Comoros","8","140","0","196"
"Sierra Leone","9","136","0","196"
"Tanzania","0.4","183","0","196"
"Congo","14","127","0","196"
"Liberia","16","121","0","196"
"Saint Pierre Miquelon","0","190","0","196"
"Seychelles","0","190","0","196"
"Diamond Princess","0","190","0","196"
"Nicaragua","20","111","0","196"
"Vatican City","0","190","0","196"
"Algeria","32","95","0","196"
"MS Zaandam","0","190","0","196"
"Eritrea","0","190","0","196"
"Faeroe Islands","0","190","1,642,742.00","2"
"Lithuania","30","97","218,825.00","20"
"Cyprus","17","117","218,392.00","21"
"Australia","18","113","215,645.00","22"
"Qatar","69","64","203,815.00","23"
